Neighborhoods,latitude,longitude
Sunset,49.209100895729286,-123.08896336410983
Mount Pleasant,49.2659362073934,-123.09320121587707
Riley Park,49.241857381034954,-123.11592876727764
Downtown,49.28160285856479,-123.118182182312
Kitsilano,49.27136253494895,-123.15249795624703
Dunbar-Southlands,49.23392139375933,-123.19360757088874
Kerrisdale,49.21093054285475,-123.1579271952311
Arbutus-Ridge,49.24363697707434,-123.15379304974991
West Point Grey,49.269337607768364,-123.20924522763205
Marpole,49.20292229029317,-123.12895679473874
Oakridge,49.22876548673836,-123.12086613972978
Shaughnessy,49.24584934434814,-123.14681191077598
Fairview,49.262943069577986,-123.13719650794718
South Cambie,49.2421098293297,-123.11747466540726
West End,49.284404435814956,-123.13899040222167
Killarney,49.22215059972508,-123.0434179867015
Renfrew-Collingwood,49.24542803898167,-123.03734670366558
Hastings-Sunrise,49.26876026782027,-123.03382151835672
Victoria-Fraserview,49.2117153703355,-123.06076899937219
Kensington-Cedar Cottage,49.245122414115635,-123.06461390742548
Strathcona,49.26982544314467,-123.09210713704425
Grandview-Woodland,49.2815725529143,-123.06831359863278
